year,IBTrACS_ID,TC_name,NatCatSERVICE_ID,genesis_basin,countries_affected,ISO3,v_land_SI,v_land_kn,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets
1951,1951239N12334,DOG,,NA,multi,GLP,21.7,42.1,54128.0,0.0,0.0,0.0,0.0,0.0
1951,1951239N12334,DOG,,NA,multi,LCA,46.2,89.9,181776.0,1841187540.0,181776.0,1841187540.0,0.0,0.0
1951,1951239N12334,DOG,,NA,multi,MTQ,55.4,107.6,413065.0,0.0,413065.0,0.0,261544.0,0.0
1951,1951239N12334,DOG,,NA,multi,VCT,32.9,63.9,101293.0,1183365676.0,0.0,0.0,0.0,0.0
1951,1951246N13340,FOX,,NA,single,CPV,19.7,38.4,37139.0,372434482.0,0.0,0.0,0.0,0.0
1951,1951246N14120,UNNAMED,,WP,multi,CHN,23.5,45.8,1324085.0,26293549862.0,0.0,0.0,0.0,0.0
1951,1951246N14120,UNNAMED,,WP,multi,LAO,18.0,35.1,96.0,7141314.0,0.0,0.0,0.0,0.0
1951,1951246N14120,UNNAMED,,WP,multi,VNM,26.0,50.6,2331326.0,11985553374.0,0.0,0.0,0.0,0.0
1951,1951255N17254,UNNAMED,,EP,single,MEX,28.8,56.0,1214746.0,23119073524.0,0.0,0.0,0.0,0.0
1951,1951263N08137,UNNAMED,,WP,multi,PHL,24.9,48.4,151599.0,1344468774.0,0.0,0.0,0.0,0.0
1951,1951263N08137,UNNAMED,,WP,multi,TWN,51.0,99.1,19277954.0,4.06560838107e+12,8312627.0,1.69867486248e+12,104.0,0.0
1951,1951263N19267,GEORGE,,NA,single,MEX,29.4,57.2,3598421.0,55747636625.0,0.0,0.0,0.0,0.0
1951,1951272N20274,HOW,,NA,multi,BHS,23.3,45.3,53621.0,2019021272.0,0.0,0.0,0.0,0.0
1951,1951272N20274,HOW,,NA,multi,ISL,46.6,90.5,70072.0,21775177933.0,27343.0,5478158157.0,0.0,0.0
1951,1951272N20274,HOW,,NA,multi,USA,37.0,72.0,8997814.0,1.62715866643e+12,689151.0,1.26975376561e+11,0.0,0.0
1951,1951281N11147,RUTH,,WP,single,JPN,59.4,115.5,96950843.0,1.14545623368e+13,33303723.0,4.02518497396e+12,2310209.0,2.80546321591e+11
1951,1951285N16280,ITEM,,NA,multi,CUB,30.4,59.2,408792.0,4985658583.0,0.0,0.0,0.0,0.0
1951,1951321N09143,WANDA,,WP,multi,KHM,39.7,77.1,1096326.0,8507280426.0,20341.0,443339696.0,0.0,0.0
1951,1951321N09143,WANDA,,WP,multi,LAO,17.8,34.6,287.0,10272153.0,0.0,0.0,0.0,0.0
1951,1951321N09143,WANDA,,WP,multi,PHL,60.3,117.2,27831628.0,2.80889389483e+11,7954723.0,82830458854.0,1826023.0,20919814804.0
1951,1951321N09143,WANDA,,WP,multi,VNM,59.3,115.4,9165442.0,85895697894.0,3936485.0,35279064069.0,1205687.0,9681426601.0
1951,1951332N14256,UNNAMED,,EP,single,MEX,22.1,42.9,363801.0,4979625990.0,0.0,0.0,0.0,0.0
1951,1951337N09150,UNNAMED,,WP,multi,PHL,61.3,119.2,20464826.0,1.88027539669e+11,12675908.0,1.13105130151e+11,5618193.0,48973327246.0
1952,1952019S11139,UNNAMED,,SP,single,AUS,25.0,48.5,12818.0,1596848852.0,0.0,0.0,0.0,0.0
1952,1952024S11159,UNNAMED,,SP,single,SLB,28.4,55.2,49092.0,403569056.0,0.0,0.0,0.0,0.0
1952,1952033N19273,UNNAMED,,NA,multi,BHS,34.8,67.7,58682.0,2483279247.0,655.0,57636019.0,0.0,0.0
1952,1952033N19273,UNNAMED,,NA,multi,CAN,39.8,77.4,443565.0,63621457246.0,135579.0,17147954800.0,0.0,0.0
1952,1952033N19273,UNNAMED,,NA,multi,CUB,39.9,77.6,4157355.0,35307163882.0,2838557.0,19838475575.0,0.0,0.0
1952,1952033N19273,UNNAMED,,NA,multi,USA,49.7,96.7,6895030.0,1.2060747722e+12,5266106.0,8.60453559095e+11,0.0,0.0
1952,1952162N15118,CHARLOTTE,,WP,multi,CHN,49.5,96.1,91145825.0,2.1698264115e+12,10656436.0,2.53056240803e+11,20.0,0.0
1952,1952162N15118,CHARLOTTE,,WP,multi,HKG,22.0,42.8,7832154.0,1.17951962762e+12,0.0,0.0,0.0,0.0
1952,1952165N15261,UNNAMED,,EP,single,MEX,20.8,40.4,321895.0,4180707584.0,0.0,0.0,0.0,0.0
1952,1952171N12130,DINAH,,WP,multi,JPN,56.8,110.5,51940834.0,5.98867871068e+12,1681240.0,1.92120367247e+11,1798.0,355592721.0
1952,1952171N12130,DINAH,,WP,multi,PHL,17.9,34.8,28.0,0.0,0.0,0.0,0.0,0.0
1952,1952178N15123,UNNAMED,,WP,single,CHN,21.1,41.0,8737644.0,1.70448405874e+11,0.0,0.0,0.0,0.0
1952,1952191N23124,FREDA,,WP,single,JPN,21.0,40.9,571059.0,87312133598.0,0.0,0.0,0.0,0.0
1952,1952197N27130,GILDA,,WP,multi,CHN,33.1,64.3,33091282.0,7.58663004292e+11,0.0,0.0,0.0,0.0
1952,1952197N27130,GILDA,,WP,multi,JPN,24.2,47.0,586326.0,45222015822.0,0.0,0.0,0.0,0.0
1952,1952206N09134,HARRIET,,WP,multi,CHN,65.4,127.1,45028068.0,1.06696670677e+12,22694573.0,4.92584355847e+11,10999197.0,2.25473620039e+11
1952,1952206N09134,HARRIET,,WP,multi,PHL,44.6,86.7,1035028.0,7694119323.0,3661.0,28241811.0,0.0,0.0
1952,1952215N13131,JEANNE,,WP,single,JPN,29.7,57.8,164.0,86401983.0,0.0,0.0,0.0,0.0
1952,1952221N23125,UNNAMED,,WP,multi,CHN,24.5,47.6,6026563.0,1.33861845185e+11,0.0,0.0,0.0,0.0
1952,1952221N23125,UNNAMED,,WP,multi,VNM,22.2,43.2,15110712.0,82806993702.0,0.0,0.0,0.0,0.0
1952,1952224N14135,KAREN,,WP,multi,JPN,44.7,86.9,3289762.0,4.44183949688e+11,721121.0,66732957432.0,0.0,0.0
1952,1952224N14135,KAREN,,WP,multi,KOR,46.4,90.2,40218488.0,5.85917538191e+12,8663029.0,1.30490814484e+12,0.0,0.0
1952,1952224N14135,KAREN,,WP,multi,PRK,21.9,42.6,464418.0,2080656706.0,0.0,0.0,0.0,0.0
1952,1952231N15341,ABLE,,NA,multi,BHS,20.2,39.3,3157.0,244035417.0,0.0,0.0,0.0,0.0
1952,1952231N15341,ABLE,,NA,multi,CAN,17.6,34.3,34861.0,3639641096.0,0.0,0.0,0.0,0.0
1952,1952231N15341,ABLE,,NA,multi,USA,48.2,93.7,68121496.0,1.27312968531e+13,28778275.0,4.77258079359e+12,0.0,0.0
1952,1952236N10135,LOIS,,WP,multi,CHN,50.1,97.4,12752124.0,2.98729395287e+11,4496355.0,1.03611227429e+11,47345.0,1124252984.0
1952,1952236N10135,LOIS,,WP,multi,LAO,26.3,51.2,92553.0,1132598278.0,0.0,0.0,0.0,0.0
1952,1952236N10135,LOIS,,WP,multi,PHL,33.0,64.2,21602184.0,2.24002002264e+11,18.0,0.0,0.0,0.0
1952,1952236N10135,LOIS,,WP,multi,VNM,44.5,86.6,37820682.0,2.39176279491e+11,19585576.0,1.15734712581e+11,0.0,0.0
1952,1952241N08137,MARY,,WP,multi,CHN,33.8,65.7,52759674.0,1.16459933803e+12,13188.0,204836975.0,0.0,0.0
1952,1952241N08137,MARY,,WP,multi,KOR,38.6,75.0,30087991.0,4.22218687699e+12,1670948.0,4.24068159908e+11,0.0,0.0
1952,1952241N08137,MARY,,WP,multi,PHL,33.7,65.5,293175.0,3036380123.0,0.0,0.0,0.0,0.0
1952,1952241N08137,MARY,,WP,multi,TWN,45.4,88.2,17157638.0,3.69410772526e+12,9998655.0,2.04986929266e+12,0.0,0.0
1952,1952241N32282,UNNAMED,,NA,single,USA,30.8,59.8,4041012.0,9.32176756949e+11,0.0,0.0,0.0,0.0
1952,1952242N08137,MARY,,WP,multi,CHN,42.5,82.6,112459615.0,2.60784103728e+12,29602446.0,7.07380540017e+11,0.0,0.0
1952,1952242N08137,MARY,,WP,multi,KOR,42.1,81.9,33602566.0,4.8173175386e+12,4204981.0,8.47437577277e+11,0.0,0.0
1952,1952242N08137,MARY,,WP,multi,PHL,45.1,87.7,7311735.0,56042740048.0,104943.0,1471488534.0,0.0,0.0
1952,1952242N08137,MARY,,WP,multi,PRK,21.8,42.4,105519.0,374423289.0,0.0,0.0,0.0,0.0
1952,1952242N08137,MARY,,WP,multi,TWN,39.8,77.4,13479645.0,2.86466156322e+12,2967415.0,4.27074937066e+11,0.0,0.0
1952,1952244N15306,BAKER,,NA,single,CAN,19.1,37.1,34.0,12178959.0,0.0,0.0,0.0,0.0
1952,1952251N11139,UNNAMED,,WP,multi,CHN,26.5,51.6,71737153.0,1.65384216259e+12,0.0,0.0,0.0,0.0
1952,1952251N11139,UNNAMED,,WP,multi,TWN,26.7,51.9,12037775.0,2.49948652721e+12,0.0,0.0,0.0,0.0
1952,1952252N42337,UNNAMED,,NA,multi,AND,20.5,39.8,82310.0,69868070.0,0.0,0.0,0.0,0.0
1952,1952252N42337,UNNAMED,,NA,multi,ESP,33.9,65.9,12906514.0,1.08882417235e+12,57660.0,8086442885.0,0.0,0.0
1952,1952252N42337,UNNAMED,,NA,multi,FRA,22.0,42.8,1352737.0,1.46895765438e+11,0.0,0.0,0.0,0.0
1952,1952252N42337,UNNAMED,,NA,multi,PRT,25.1,48.8,125821.0,8849794562.0,0.0,0.0,0.0,0.0
1952,1952260N17119,UNNAMED,,WP,multi,CHN,24.7,48.1,5739446.0,1.29289386145e+11,0.0,0.0,0.0,0.0
1952,1952260N17119,UNNAMED,,WP,multi,VNM,25.4,49.5,19018319.0,1.04724210755e+11,0.0,0.0,0.0,0.0
1952,1952268N20291,CHARLIE,,NA,single,BHS,21.3,41.4,1222.0,100208572.0,0.0,0.0,0.0,0.0
1952,1952287N09148,TRIX,,WP,multi,KHM,26.6,51.7,7109.0,129734276.0,0.0,0.0,0.0,0.0
1952,1952287N09148,TRIX,,WP,multi,LAO,42.6,82.7,1440575.0,11022030975.0,59386.0,803336222.0,0.0,0.0
1952,1952287N09148,TRIX,,WP,multi,PHL,67.4,131.1,43820633.0,3.81016234535e+11,15600481.0,1.66325688992e+11,7144691.0,83260332561.0
1952,1952287N09148,TRIX,,WP,multi,THA,23.9,46.6,3499978.0,22092892995.0,0.0,0.0,0.0,0.0
1952,1952287N09148,TRIX,,WP,multi,VNM,47.8,92.9,9250376.0,58983974091.0,2453602.0,16006999595.0,0.0,0.0
1952,1952288N10118,SHIRLY,,WP,single,VNM,24.6,47.8,1849851.0,10784775389.0,0.0,0.0,0.0,0.0
1952,1952289N15128,UNNAMED,,WP,multi,KHM,18.3,35.6,12448.0,141084119.0,0.0,0.0,0.0,0.0
1952,1952289N15128,UNNAMED,,WP,multi,VNM,48.7,94.7,7578438.0,77699629654.0,1568548.0,13547391430.0,0.0,0.0
1952,1952295N11282,FOX,,NA,multi,BHS,44.7,86.9,293157.0,9183200803.0,277631.0,8070715021.0,0.0,0.0
1952,1952295N11282,FOX,,NA,multi,CUB,68.1,132.4,5433586.0,46021769677.0,1542163.0,15335561405.0,653115.0,6763354534.0
1952,1952295N11282,FOX,,NA,multi,USA,19.9,38.7,6352.0,2130182496.0,0.0,0.0,0.0,0.0
1952,1952296N06152,WILMA,,WP,multi,KHM,26.8,52.1,1527196.0,6382214155.0,0.0,0.0,0.0,0.0
1952,1952296N06152,WILMA,,WP,multi,LAO,39.0,75.8,1643650.0,12392706788.0,425278.0,2675117003.0,0.0,0.0
1952,1952296N06152,WILMA,,WP,multi,PHL,73.0,141.9,28281376.0,2.78354057083e+11,7957281.0,82798482201.0,3424599.0,34688722025.0
1952,1952296N06152,WILMA,,WP,multi,THA,33.4,65.0,6042616.0,38078695993.0,14738.0,112655764.0,0.0,0.0
